act,scene,stagegroup,node,n_tokens_speaker,n_lines_speaker,n_tokens_onstage,n_lines_onstage
4,2,30,#DromioOfSyracuse_Err,114,14,158,21
4,2,31,#Adriana_Err,14,2,14,2
4,2,32,#Adriana_Err,14,2,14,2
4,3,33,#AntipholusOfSyracuse_Err,83,11,83,11
4,3,34,#AntipholusOfSyracuse_Err,57,10,257,34
4,3,34,#DromioOfSyracuse_Err,200,24,257,34
4,3,35,#AntipholusOfSyracuse_Err,48,7,297,37
4,3,35,#Courtesan_Err,88,10,297,37
4,3,35,#DromioOfSyracuse_Err,161,20,297,37
4,3,36,#Courtesan_Err,129,16,129,16
4,4,37,#AntipholusOfEphesus_Err,58,7,58,7
4,4,38,#AntipholusOfEphesus_Err,66,11,263,36
4,4,38,#DromioOfEphesus_Err,188,23,263,36
4,4,38,#OFFICERS.X_Err,9,2,263,36
4,4,39,#Adriana_Err,121,15,544,69
4,4,39,#AntipholusOfEphesus_Err,188,25,544,69
4,4,39,#Courtesan_Err,16,2,544,69
4,4,39,#DromioOfEphesus_Err,116,15,544,69
4,4,39,#Luciana_Err,17,2,544,69
4,4,39,#Pinch_Err,86,10,544,69
4,4,40,#Adriana_Err,65,9,188,26
4,4,40,#AntipholusOfEphesus_Err,33,5,188,26
4,4,40,#DromioOfEphesus_Err,22,4,188,26
4,4,40,#Luciana_Err,19,2,188,26
4,4,40,#OFFICERS.X_Err,32,4,188,26
4,4,40,#Pinch_Err,17,2,188,26
4,4,41,#Adriana_Err,66,8,119,15
4,4,41,#Courtesan_Err,33,4,119,15
4,4,41,#OFFICERS.X_Err,20,3,119,15
4,4,42,#Adriana_Err,14,2,26,4
4,4,42,#Luciana_Err,8,1,26,4
4,4,42,#OFFICERS.X_Err,4,1,26,4
4,4,43,#AntipholusOfSyracuse_Err,42,5,106,12
4,4,43,#DromioOfSyracuse_Err,64,7,106,12
5,1,44,#Angelo_Err,53,7,70,9
5,1,44,#Merchant2_Err,17,2,70,9
5,1,45,#Angelo_Err,103,13,186,23
5,1,45,#AntipholusOfSyracuse_Err,40,5,186,23
5,1,45,#Merchant2_Err,43,5,186,23
5,1,46,#Adriana_Err,27,3,45,5
5,1,46,#DromioOfSyracuse_Err,18,2,45,5
5,1,47,#Abbess_Err,331,45,586,79
5,1,47,#Adriana_Err,214,28,586,79
5,1,47,#Angelo_Err,9,1,586,79
5,1,47,#Luciana_Err,22,4,586,79
5,1,47,#Merchant2_Err,10,1,586,79
