act,scene,stagegroup,node,n_tokens_speaker,n_lines_speaker,n_tokens_onstage,n_lines_onstage
1,1,1,#ATTENDANTS.ORSINO_TN,0,0,168,24
1,1,1,#MUSICIANS_TN,0,0,168,24
1,1,2,#ATTENDANTS.ORSINO.Curio_TN,0,0,153,19
1,1,2,#ATTENDANTS.ORSINO_TN,0,0,153,19
1,1,2,#MUSICIANS_TN,0,0,153,19
1,2,3,#SAILORS_TN,0,0,481,67
1,4,8,#ATTENDANTS.ORSINO.Curio_TN,0,0,267,37
1,4,8,#ATTENDANTS.ORSINO.Valentine_TN,0,0,267,37
1,4,8,#ATTENDANTS.ORSINO_TN,0,0,267,37
1,5,10,#ATTENDANTS.OLIVIA_TN,0,0,530,68
1,5,11,#ATTENDANTS.OLIVIA_TN,0,0,60,9
1,5,11,#Feste_TN,0,0,60,9
1,5,11,#Malvolio_TN,0,0,60,9
1,5,12,#ATTENDANTS.OLIVIA_TN,0,0,24,3
1,5,12,#Feste_TN,0,0,24,3
1,5,12,#Malvolio_TN,0,0,24,3
1,5,13,#ATTENDANTS.OLIVIA_TN,0,0,48,6
1,5,14,#ATTENDANTS.OLIVIA_TN,0,0,79,13
1,5,15,#ATTENDANTS.OLIVIA_TN,0,0,73,9
1,5,16,#ATTENDANTS.OLIVIA_TN,0,0,204,27
1,5,17,#ATTENDANTS.OLIVIA_TN,0,0,16,2
1,5,17,#Maria_TN,0,0,16,2
1,5,18,#ATTENDANTS.OLIVIA_TN,0,0,435,54
2,3,30,#AndrewAguecheek_TN,0,0,287,37
2,3,31,#Feste_TN,0,0,418,52
2,3,32,#Feste_TN,0,0,93,14
2,4,33,#ATTENDANTS.ORSINO_TN,0,0,89,15
2,4,33,#MUSICIANS_TN,0,0,89,15
2,4,33,#Viola_TN,0,0,89,15
2,4,34,#ATTENDANTS.ORSINO_TN,0,0,226,33
2,4,34,#MUSICIANS_TN,0,0,226,33
2,4,35,#ATTENDANTS.ORSINO.Curio_TN,0,0,251,39
2,4,35,#ATTENDANTS.ORSINO_TN,0,0,251,39
2,4,35,#MUSICIANS_TN,0,0,251,39
2,4,35,#Viola_TN,0,0,251,39
2,4,36,#ATTENDANTS.ORSINO.Curio_TN,0,0,6,1
2,4,36,#ATTENDANTS.ORSINO_TN,0,0,6,1
2,4,36,#MUSICIANS_TN,0,0,6,1
2,4,36,#Viola_TN,0,0,6,1
2,5,39,#AndrewAguecheek_TN,0,0,78,10
2,5,39,#Fabian_TN,0,0,78,10
3,1,46,#Maria_TN,0,0,56,10
3,1,46,#TobyBelch_TN,0,0,56,10
3,2,50,#Fabian_TN,0,0,154,18
3,4,55,#Malvolio_TN,0,0,25,4
3,4,55,#Maria_TN,0,0,25,4
3,4,56,#Malvolio_TN,0,0,35,5
3,4,56,#Maria_TN,0,0,35,5
3,4,61,#Fabian_TN,0,0,118,13
3,4,61,#Maria_TN,0,0,118,13
3,4,62,#Maria_TN,0,0,29,4
3,4,62,#Olivia_TN,0,0,29,4
3,4,62,#Viola_TN,0,0,29,4
3,4,64,#Fabian_TN,0,0,348,42
3,4,68,#AndrewAguecheek_TN,0,0,62,7
3,4,68,#Fabian_TN,0,0,62,7
3,4,68,#Viola_TN,0,0,62,7
3,4,70,#AndrewAguecheek_TN,0,0,95,12
3,4,70,#Fabian_TN,0,0,95,12
4,1,73,#Fabian_TN,0,0,51,8
4,1,74,#Fabian_TN,0,0,104,14
4,1,75,#AndrewAguecheek_TN,0,0,41,8
4,1,75,#Fabian_TN,0,0,41,8
4,1,75,#Sebastian_TN,0,0,41,8
4,2,77,#Feste_TN,0,0,28,3
4,2,79,#Maria_TN,0,0,72,10
4,3,83,#Priest_TN,0,0,115,15
5,1,85,#ATTENDANTS.ORSINO.Curio_TN,0,0,329,39
5,1,85,#ATTENDANTS.ORSINO_TN,0,0,329,39
5,1,85,#Fabian_TN,0,0,329,39
5,1,85,#Viola_TN,0,0,329,39
5,1,86,#ATTENDANTS.ORSINO.Curio_TN,0,0,367,50
5,1,86,#ATTENDANTS.ORSINO_TN,0,0,367,50
5,1,86,#Fabian_TN,0,0,367,50
5,1,86,#OFFICERS.2_TN,0,0,367,50
5,1,87,#ATTENDANTS.OLIVIA_TN,0,0,417,62
5,1,87,#ATTENDANTS.ORSINO.Curio_TN,0,0,417,62
5,1,87,#ATTENDANTS.ORSINO_TN,0,0,417,62
5,1,87,#Antonio_TN,0,0,417,62
5,1,87,#Fabian_TN,0,0,417,62
5,1,87,#OFFICERS.1_TN,0,0,417,62
5,1,87,#OFFICERS.2_TN,0,0,417,62
5,1,88,#ATTENDANTS.OLIVIA_TN,0,0,165,24
5,1,88,#ATTENDANTS.ORSINO.Curio_TN,0,0,165,24
5,1,88,#ATTENDANTS.ORSINO_TN,0,0,165,24
5,1,88,#Antonio_TN,0,0,165,24
