source,target,n_lines,n_tokens,edge_type
5.01.0095,#CITIZENS_MM,112,765,passive
5.01.0095,#Duke_MM,62,422,passive
5.01.0095,#Escalus_MM,84,576,passive
5.01.0095,#FriarPeter_MM,112,765,passive
5.01.0095,#Isabella_MM,112,765,passive
5.01.0095,#Lucio_MM,93,631,passive
5.01.0095,#Mariana_MM,112,765,passive
5.01.0095,#OFFICERS.0.1_MM,112,765,passive
5.01.0095,#OFFICERS.0.2_MM,112,765,passive
5.01.0095,#OFFICERS_MM,112,765,passive
5.01.0095,#Provost_MM,112,765,passive
5.01.0095,#Varrius_MM,112,765,passive
5.01.0096,#ATTENDANTS_MM,25,171,passive
5.01.0096,#CITIZENS_MM,25,171,passive
5.01.0096,#Duke_MM,6,34,passive
5.01.0096,#Escalus_MM,23,156,passive
5.01.0096,#Isabella_MM,21,152,passive
5.01.0096,#Lucio_MM,25,171,passive
5.01.0096,#OFFICERS.0.1_MM,25,171,passive
5.01.0096,#OFFICERS.0.2_MM,25,171,passive
5.01.0096,#OFFICERS_MM,25,171,passive
5.01.0096,#Varrius_MM,25,171,passive
5.01.0097,#ATTENDANTS_MM,85,557,passive
5.01.0097,#Angelo_MM,85,557,passive
5.01.0097,#CITIZENS_MM,85,557,passive
5.01.0097,#Duke_MM,37,258,passive
5.01.0097,#Escalus_MM,85,557,passive
5.01.0097,#FriarPeter_MM,85,557,passive
5.01.0097,#Isabella_MM,73,471,passive
5.01.0097,#Lucio_MM,85,557,passive
5.01.0097,#Mariana_MM,69,442,passive
5.01.0097,#OFFICERS.0.1_MM,85,557,passive
5.01.0097,#OFFICERS.0.2_MM,85,557,passive
5.01.0097,#OFFICERS_MM,85,557,passive
5.01.0097,#Provost_MM,76,500,passive
5.01.0097,#Varrius_MM,85,557,passive
5.01.0098,#ATTENDANTS_MM,8,65,passive
5.01.0098,#Angelo_MM,4,32,passive
5.01.0098,#CITIZENS_MM,8,65,passive
5.01.0098,#Duke_MM,8,65,passive
5.01.0098,#Escalus_MM,4,33,passive
5.01.0098,#FriarPeter_MM,8,65,passive
5.01.0098,#Isabella_MM,8,65,passive
5.01.0098,#Lucio_MM,8,65,passive
5.01.0098,#Mariana_MM,8,65,passive
5.01.0098,#OFFICERS.0.1_MM,8,65,passive
5.01.0098,#OFFICERS.0.2_MM,8,65,passive
5.01.0098,#OFFICERS_MM,8,65,passive
5.01.0098,#Varrius_MM,8,65,passive
5.01.0099,#ATTENDANTS_MM,51,374,passive
5.01.0099,#Angelo_MM,51,374,passive
5.01.0099,#Barnardine_MM,51,374,passive
5.01.0099,#CITIZENS_MM,51,374,passive
5.01.0099,#Claudio_MM,51,374,passive
5.01.0099,#Duke_MM,13,103,passive
5.01.0099,#Escalus_MM,51,374,passive
5.01.0099,#FriarPeter_MM,51,374,passive
5.01.0099,#Isabella_MM,51,374,passive
5.01.0099,#Juliet_MM,51,374,passive
5.01.0099,#Lucio_MM,42,297,passive
5.01.0099,#Mariana_MM,51,374,passive
5.01.0099,#OFFICERS.0.1_MM,51,374,passive
5.01.0099,#OFFICERS.0.2_MM,51,374,passive
5.01.0099,#OFFICERS_MM,51,374,passive
5.01.0099,#Provost_MM,47,348,passive
5.01.0099,#Varrius_MM,51,374,passive
5.01.0100,#ATTENDANTS_MM,15,116,passive
5.01.0100,#Angelo_MM,15,116,passive
5.01.0100,#Barnardine_MM,15,116,passive
5.01.0100,#CITIZENS_MM,15,116,passive
5.01.0100,#Claudio_MM,15,116,passive
5.01.0100,#Escalus_MM,15,116,passive
5.01.0100,#FriarPeter_MM,15,116,passive
5.01.0100,#Isabella_MM,15,116,passive
5.01.0100,#Juliet_MM,15,116,passive
5.01.0100,#Mariana_MM,15,116,passive
5.01.0100,#OFFICERS.0.1_MM,15,116,passive
5.01.0100,#OFFICERS.0.2_MM,15,116,passive
5.01.0100,#Provost_MM,15,116,passive
5.01.0100,#Varrius_MM,15,116,passive
