act,scene,stagegroup,speaker,onstage,n_tokens,n_lines
2,4,33,#HenryV_H5,#Bardolph_1H4 #DRAWERS.Francis_1H4 #DollTearsheet_2H4 #Falstaff_1H4 #HenryV_H5 #MUSICIANS_2H4 #MistressQuickly_1H4 #Poins_1H4 #SERVANTS.FALSTAFF.1_2H4,202,28
2,4,33,#HenryV_H5 #Poins_1H4,#Bardolph_1H4 #DRAWERS.Francis_1H4 #DollTearsheet_2H4 #Falstaff_1H4 #HenryV_H5 #MUSICIANS_2H4 #MistressQuickly_1H4 #Poins_1H4 #SERVANTS.FALSTAFF.1_2H4,3,1
2,4,33,#MistressQuickly_1H4,#Bardolph_1H4 #DRAWERS.Francis_1H4 #DollTearsheet_2H4 #Falstaff_1H4 #HenryV_H5 #MUSICIANS_2H4 #MistressQuickly_1H4 #Poins_1H4 #SERVANTS.FALSTAFF.1_2H4,73,11
2,4,33,#Poins_1H4,#Bardolph_1H4 #DRAWERS.Francis_1H4 #DollTearsheet_2H4 #Falstaff_1H4 #HenryV_H5 #MUSICIANS_2H4 #MistressQuickly_1H4 #Poins_1H4 #SERVANTS.FALSTAFF.1_2H4,68,10
2,4,34,#HenryV_H5,#Bardolph_1H4 #DollTearsheet_2H4 #Falstaff_1H4 #HenryV_H5 #MUSICIANS_2H4 #MistressQuickly_1H4 #Peto_1H4 #Poins_1H4 #SERVANTS.FALSTAFF.1_2H4,52,8
2,4,34,#Peto_1H4,#Bardolph_1H4 #DollTearsheet_2H4 #Falstaff_1H4 #HenryV_H5 #MUSICIANS_2H4 #MistressQuickly_1H4 #Peto_1H4 #Poins_1H4 #SERVANTS.FALSTAFF.1_2H4,44,6
2,4,35,#Falstaff_1H4,#Bardolph_1H4 #DollTearsheet_2H4 #Falstaff_1H4 #MUSICIANS_2H4 #MistressQuickly_1H4 #SERVANTS.FALSTAFF.1_2H4,17,2
2,4,36,#Falstaff_1H4,#DollTearsheet_2H4 #Falstaff_1H4 #MUSICIANS_2H4 #MistressQuickly_1H4 #SERVANTS.FALSTAFF.1_2H4,10,3
2,4,37,#Bardolph_1H4,#Bardolph_1H4 #DollTearsheet_2H4 #Falstaff_1H4 #MUSICIANS_2H4 #MistressQuickly_1H4 #SERVANTS.FALSTAFF.1_2H4,15,2
2,4,37,#DollTearsheet_2H4,#Bardolph_1H4 #DollTearsheet_2H4 #Falstaff_1H4 #MUSICIANS_2H4 #MistressQuickly_1H4 #SERVANTS.FALSTAFF.1_2H4,19,2
2,4,37,#Falstaff_1H4,#Bardolph_1H4 #DollTearsheet_2H4 #Falstaff_1H4 #MUSICIANS_2H4 #MistressQuickly_1H4 #SERVANTS.FALSTAFF.1_2H4,52,7
2,4,38,#MistressQuickly_1H4,#DollTearsheet_2H4 #MistressQuickly_1H4,24,4
2,4,39,#Bardolph_1H4,#Bardolph_1H4 #DollTearsheet_2H4 #MistressQuickly_1H4,9,3
2,4,39,#MistressQuickly_1H4,#Bardolph_1H4 #DollTearsheet_2H4 #MistressQuickly_1H4,19,3
3,1,40,#HenryIV_1H4,#HenryIV_1H4 #SERVANTS.HENRY_2H4,26,3
3,1,41,#HenryIV_1H4,#HenryIV_1H4,217,28
3,1,42,#HenryIV_1H4,#Blunt_2H4 #HenryIV_1H4 #Surrey_2H4 #Warwick_2H4,367,50
3,1,42,#Warwick_2H4,#Blunt_2H4 #HenryIV_1H4 #Surrey_2H4 #Warwick_2H4,220,31
3,2,43,#Shallow_2H4,#Shallow_2H4 #Silence_2H4,361,44
3,2,43,#Silence_2H4,#Shallow_2H4 #Silence_2H4,73,14
3,2,44,#Bardolph_1H4,#Bardolph_1H4 #Man_2H4 #Shallow_2H4 #Silence_2H4,112,14
3,2,44,#Shallow_2H4,#Bardolph_1H4 #Man_2H4 #Shallow_2H4 #Silence_2H4,99,12
3,2,45,#Falstaff_1H4,#Bardolph_1H4 #Falstaff_1H4 #Man_2H4 #Shallow_2H4 #Silence_2H4,51,7
3,2,45,#Shallow_2H4,#Bardolph_1H4 #Falstaff_1H4 #Man_2H4 #Shallow_2H4 #Silence_2H4,100,12
3,2,45,#Silence_2H4,#Bardolph_1H4 #Falstaff_1H4 #Man_2H4 #Shallow_2H4 #Silence_2H4,5,1
3,2,46,#Bullcalf_2H4,#Bardolph_1H4 #Bullcalf_2H4 #Falstaff_1H4 #Feeble_2H4 #Man_2H4 #Mouldy_2H4 #Shadow_2H4 #Shallow_2H4 #Silence_2H4 #Wart_2H4,37,6
3,2,46,#Falstaff_1H4,#Bardolph_1H4 #Bullcalf_2H4 #Falstaff_1H4 #Feeble_2H4 #Man_2H4 #Mouldy_2H4 #Shadow_2H4 #Shallow_2H4 #Silence_2H4 #Wart_2H4,374,58
3,2,46,#Feeble_2H4,#Bardolph_1H4 #Bullcalf_2H4 #Falstaff_1H4 #Feeble_2H4 #Man_2H4 #Mouldy_2H4 #Shadow_2H4 #Shallow_2H4 #Silence_2H4 #Wart_2H4,29,6
3,2,46,#Mouldy_2H4,#Bardolph_1H4 #Bullcalf_2H4 #Falstaff_1H4 #Feeble_2H4 #Man_2H4 #Mouldy_2H4 #Shadow_2H4 #Shallow_2H4 #Silence_2H4 #Wart_2H4,57,8
3,2,46,#Shadow_2H4,#Bardolph_1H4 #Bullcalf_2H4 #Falstaff_1H4 #Feeble_2H4 #Man_2H4 #Mouldy_2H4 #Shadow_2H4 #Shallow_2H4 #Silence_2H4 #Wart_2H4,6,2
3,2,46,#Shallow_2H4,#Bardolph_1H4 #Bullcalf_2H4 #Falstaff_1H4 #Feeble_2H4 #Man_2H4 #Mouldy_2H4 #Shadow_2H4 #Shallow_2H4 #Silence_2H4 #Wart_2H4,282,39
3,2,46,#Silence_2H4,#Bardolph_1H4 #Bullcalf_2H4 #Falstaff_1H4 #Feeble_2H4 #Man_2H4 #Mouldy_2H4 #Shadow_2H4 #Shallow_2H4 #Silence_2H4 #Wart_2H4,4,1
3,2,46,#Wart_2H4,#Bardolph_1H4 #Bullcalf_2H4 #Falstaff_1H4 #Feeble_2H4 #Man_2H4 #Mouldy_2H4 #Shadow_2H4 #Shallow_2H4 #Silence_2H4 #Wart_2H4,4,2
3,2,47,#Bardolph_1H4,#Bardolph_1H4 #Bullcalf_2H4 #Feeble_2H4 #Man_2H4 #Mouldy_2H4 #Shadow_2H4 #Wart_2H4,15,3
3,2,47,#Bullcalf_2H4,#Bardolph_1H4 #Bullcalf_2H4 #Feeble_2H4 #Man_2H4 #Mouldy_2H4 #Shadow_2H4 #Wart_2H4,72,8
3,2,47,#Feeble_2H4,#Bardolph_1H4 #Bullcalf_2H4 #Feeble_2H4 #Man_2H4 #Mouldy_2H4 #Shadow_2H4 #Wart_2H4,66,7
3,2,47,#Mouldy_2H4,#Bardolph_1H4 #Bullcalf_2H4 #Feeble_2H4 #Man_2H4 #Mouldy_2H4 #Shadow_2H4 #Wart_2H4,38,5
3,2,48,#Bardolph_1H4,#Bardolph_1H4 #Bullcalf_2H4 #Falstaff_1H4 #Feeble_2H4 #Man_2H4 #Mouldy_2H4 #Shadow_2H4 #Shallow_2H4 #Silence_2H4 #Wart_2H4,14,2
3,2,48,#Falstaff_1H4,#Bardolph_1H4 #Bullcalf_2H4 #Falstaff_1H4 #Feeble_2H4 #Man_2H4 #Mouldy_2H4 #Shadow_2H4 #Shallow_2H4 #Silence_2H4 #Wart_2H4,45,7
3,2,48,#Shallow_2H4,#Bardolph_1H4 #Bullcalf_2H4 #Falstaff_1H4 #Feeble_2H4 #Man_2H4 #Mouldy_2H4 #Shadow_2H4 #Shallow_2H4 #Silence_2H4 #Wart_2H4,20,4
3,2,49,#Bardolph_1H4,#Bardolph_1H4 #Falstaff_1H4 #Feeble_2H4 #Man_2H4 #Shadow_2H4 #Shallow_2H4 #Silence_2H4 #Wart_2H4,6,2
3,2,49,#Falstaff_1H4,#Bardolph_1H4 #Falstaff_1H4 #Feeble_2H4 #Man_2H4 #Shadow_2H4 #Shallow_2H4 #Silence_2H4 #Wart_2H4,227,28
3,2,49,#Shallow_2H4,#Bardolph_1H4 #Falstaff_1H4 #Feeble_2H4 #Man_2H4 #Shadow_2H4 #Shallow_2H4 #Silence_2H4 #Wart_2H4,155,18
3,2,50,#Falstaff_1H4,#Bardolph_1H4 #Falstaff_1H4 #Feeble_2H4 #Man_2H4 #Shadow_2H4 #Wart_2H4,6,1
3,2,51,#Falstaff_1H4,#Falstaff_1H4,329,34
