tag,type,n,text,xml:id,who,lemma,ana,part,rendition,prev,act,scene,onstage,stagegroup_raw,speaker
c,,, ,,,,,,,,0,0,#Chorus_Rom,1,
w,,PRO.6,their,fs-rom-0000960,,their,#po,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
c,,, ,,,,,,,,0,0,#Chorus_Rom,1,
w,,PRO.6,life,fs-rom-0000980,,life,#n1,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
pc,,PRO.6,;,fs-rom-0000990,,,,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
l,,PRO.7,,ftln-0007,,,,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
w,,PRO.7,Whose,fs-rom-0001000,,who,#crq-rg,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
c,,, ,,,,,,,,0,0,#Chorus_Rom,1,
w,,PRO.7,misadventured,fs-rom-0001020,,misadventure,#j_vn,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
c,,, ,,,,,,,,0,0,#Chorus_Rom,1,
w,,PRO.7,piteous,fs-rom-0001040,,piteous,#j,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
c,,, ,,,,,,,,0,0,#Chorus_Rom,1,
w,,PRO.7,overthrows,fs-rom-0001060,,overthrow,#n2,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
l,,PRO.8,,ftln-0008,,,,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
w,,PRO.8,Doth,fs-rom-0001070,,do,#vvz,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
c,,, ,,,,,,,,0,0,#Chorus_Rom,1,
w,,PRO.8,with,fs-rom-0001090,,with,#acp-p,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
c,,, ,,,,,,,,0,0,#Chorus_Rom,1,
w,,PRO.8,their,fs-rom-0001110,,their,#po,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
c,,, ,,,,,,,,0,0,#Chorus_Rom,1,
w,,PRO.8,death,fs-rom-0001130,,death,#n1,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
c,,, ,,,,,,,,0,0,#Chorus_Rom,1,
w,,PRO.8,bury,fs-rom-0001150,,bury,#vvi,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
c,,, ,,,,,,,,0,0,#Chorus_Rom,1,
w,,PRO.8,their,fs-rom-0001170,,their,#po,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
c,,, ,,,,,,,,0,0,#Chorus_Rom,1,
w,,PRO.8,parents’,fs-rom-0001190,,parent,#n2g,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
c,,, ,,,,,,,,0,0,#Chorus_Rom,1,
w,,PRO.8,strife,fs-rom-0001210,,strife,#n1,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
pc,,PRO.8,.,fs-rom-0001220,,,,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
l,,PRO.9,,ftln-0009,,,,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
w,,PRO.9,The,fs-rom-0001230,,the,#d,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
c,,, ,,,,,,,,0,0,#Chorus_Rom,1,
w,,PRO.9,fearful,fs-rom-0001250,,fearful,#j,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
c,,, ,,,,,,,,0,0,#Chorus_Rom,1,
w,,PRO.9,passage,fs-rom-0001270,,passage,#n1,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
c,,, ,,,,,,,,0,0,#Chorus_Rom,1,
w,,PRO.9,of,fs-rom-0001290,,of,#acp-p,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
c,,, ,,,,,,,,0,0,#Chorus_Rom,1,
w,,PRO.9,their,fs-rom-0001310,,their,#po,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
c,,, ,,,,,,,,0,0,#Chorus_Rom,1,
w,,PRO.9,death-marked,fs-rom-0001330,,death-marked,#j,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
c,,, ,,,,,,,,0,0,#Chorus_Rom,1,
w,,PRO.9,love,fs-rom-0001350,,love,#n1,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
l,,PRO.10,,ftln-0010,,,,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
w,,PRO.10,And,fs-rom-0001360,,and,#cc,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
c,,, ,,,,,,,,0,0,#Chorus_Rom,1,
w,,PRO.10,the,fs-rom-0001380,,the,#d,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
c,,, ,,,,,,,,0,0,#Chorus_Rom,1,
w,,PRO.10,continuance,fs-rom-0001400,,continuance,#n1,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
c,,, ,,,,,,,,0,0,#Chorus_Rom,1,
w,,PRO.10,of,fs-rom-0001420,,of,#acp-p,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
c,,, ,,,,,,,,0,0,#Chorus_Rom,1,
w,,PRO.10,their,fs-rom-0001440,,their,#po,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
c,,, ,,,,,,,,0,0,#Chorus_Rom,1,
w,,PRO.10,parents’,fs-rom-0001460,,parent,#n2g,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
c,,, ,,,,,,,,0,0,#Chorus_Rom,1,
w,,PRO.10,rage,fs-rom-0001480,,rage,#n1,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
pc,,PRO.10,",",fs-rom-0001490,,,,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
l,,PRO.11,,ftln-0011,,,,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
w,,PRO.11,Which,fs-rom-0001500,,which,#crq-r,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
pc,,PRO.11,",",fs-rom-0001510,,,,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
c,,, ,,,,,,,,0,0,#Chorus_Rom,1,
w,,PRO.11,but,fs-rom-0001530,,but,#acp-cc,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
c,,, ,,,,,,,,0,0,#Chorus_Rom,1,
w,,PRO.11,their,fs-rom-0001550,,their,#po,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
c,,, ,,,,,,,,0,0,#Chorus_Rom,1,
w,,PRO.11,children’s,fs-rom-0001570,,child,#n2g,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
c,,, ,,,,,,,,0,0,#Chorus_Rom,1,
w,,PRO.11,end,fs-rom-0001590,,end,#n1,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
pc,,PRO.11,",",fs-rom-0001600,,,,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
c,,, ,,,,,,,,0,0,#Chorus_Rom,1,
w,,PRO.11,naught,fs-rom-0001620,,naught,#pi-x,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
c,,, ,,,,,,,,0,0,#Chorus_Rom,1,
w,,PRO.11,could,fs-rom-0001640,,can,#vmd,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
c,,, ,,,,,,,,0,0,#Chorus_Rom,1,
w,,PRO.11,remove,fs-rom-0001660,,remove,#vvi,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
pc,,PRO.11,",",fs-rom-0001670,,,,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
l,,PRO.12,,ftln-0012,,,,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
w,,PRO.12,Is,fs-rom-0001680,,be,#vvz,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
c,,, ,,,,,,,,0,0,#Chorus_Rom,1,
w,,PRO.12,now,fs-rom-0001700,,now,#av,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
c,,, ,,,,,,,,0,0,#Chorus_Rom,1,
w,,PRO.12,the,fs-rom-0001720,,the,#d,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
c,,, ,,,,,,,,0,0,#Chorus_Rom,1,
w,,PRO.12,two,fs-rom-0001740,,two,#crd,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
c,,, ,,,,,,,,0,0,#Chorus_Rom,1,
w,,PRO.12,hours’,fs-rom-0001760,,hour,#n2g,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
c,,, ,,,,,,,,0,0,#Chorus_Rom,1,
