tag,type,n,text,xml:id,who,lemma,ana,part,prev,rendition,act,scene,onstage,stagegroup_raw,speaker
w,,1.1.9,be,fs-wt-0001420,,be,#vvi,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Archidamus_WT
c,,, ,,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,
w,,1.1.9,justified,fs-wt-0001440,,justify,#vvn,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Archidamus_WT
c,,, ,,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,
w,,1.1.9,in,fs-wt-0001460,,in,#acp-p,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Archidamus_WT
c,,, ,,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,
w,,1.1.9,our,fs-wt-0001480,,our,#po,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Archidamus_WT
c,,, ,,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,
w,,1.1.9,loves,fs-wt-0001500,,love,#n2,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Archidamus_WT
pc,,1.1.9,.,fs-wt-0001510,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Archidamus_WT
c,,, ,,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,
w,,1.1.9,For,fs-wt-0001530,,for,#acp-p,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Archidamus_WT
c,,, ,,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,
w,,1.1.9,indeed,fs-wt-0001550,,indeed,#av,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Archidamus_WT
pc,,1.1.9,—,fs-wt-0001560,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Archidamus_WT
sp,,,,sp-0010,{'#Camillo_WT'},,,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Camillo_WT
p,,,,p-0010,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,
lb,,1.1.10,,ftln-0010,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Camillo_WT
w,,1.1.10,Beseech,fs-wt-0001580,,beseech,#vvb,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Camillo_WT
c,,, ,,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,
w,,1.1.10,you,fs-wt-0001600,,you,#pn,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Camillo_WT
pc,,1.1.10,—,fs-wt-0001610,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Camillo_WT
sp,,,,sp-0011,{'#Archidamus_WT'},,,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Archidamus_WT
p,,,,p-0011,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,
lb,,1.1.11,,ftln-0011,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Archidamus_WT
w,,1.1.11,Verily,fs-wt-0001630,,very,#av_j,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Archidamus_WT
pc,,1.1.11,",",fs-wt-0001640,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Archidamus_WT
c,,, ,,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,
