tag,type,n,text,xml:id,who,ana,lemma,part,rendition,prev,act,scene,onstage,stagegroup_raw,speaker
c,,, ,,,,,,,,1,1,#ATTENDANTS.ENGLISH_1H6 #Bedford_H5 #CardinalBeaufort_1H6 #Exeter_H5 #Gloucester_2H4 #HERALDS.ENGLISH_1H6 #Somerset_1H6 #Warwick_2H4,1,
w,,SD 1.1.0,funeral,fs-1h6-0000160,,,,,,,1,1,#ATTENDANTS.ENGLISH_1H6 #Bedford_H5 #CardinalBeaufort_1H6 #Exeter_H5 #Gloucester_2H4 #HERALDS.ENGLISH_1H6 #Somerset_1H6 #Warwick_2H4,1,
c,,, ,,,,,,,,1,1,#ATTENDANTS.ENGLISH_1H6 #Bedford_H5 #CardinalBeaufort_1H6 #Exeter_H5 #Gloucester_2H4 #HERALDS.ENGLISH_1H6 #Somerset_1H6 #Warwick_2H4,1,
w,,SD 1.1.0,of,fs-1h6-0000180,,,,,,,1,1,#ATTENDANTS.ENGLISH_1H6 #Bedford_H5 #CardinalBeaufort_1H6 #Exeter_H5 #Gloucester_2H4 #HERALDS.ENGLISH_1H6 #Somerset_1H6 #Warwick_2H4,1,
c,,, ,,,,,,,,1,1,#ATTENDANTS.ENGLISH_1H6 #Bedford_H5 #CardinalBeaufort_1H6 #Exeter_H5 #Gloucester_2H4 #HERALDS.ENGLISH_1H6 #Somerset_1H6 #Warwick_2H4,1,
w,,SD 1.1.0,King,fs-1h6-0000200,,,,,,,1,1,#ATTENDANTS.ENGLISH_1H6 #Bedford_H5 #CardinalBeaufort_1H6 #Exeter_H5 #Gloucester_2H4 #HERALDS.ENGLISH_1H6 #Somerset_1H6 #Warwick_2H4,1,
c,,, ,,,,,,,,1,1,#ATTENDANTS.ENGLISH_1H6 #Bedford_H5 #CardinalBeaufort_1H6 #Exeter_H5 #Gloucester_2H4 #HERALDS.ENGLISH_1H6 #Somerset_1H6 #Warwick_2H4,1,
w,,SD 1.1.0,Henry,fs-1h6-0000220,,,,,,,1,1,#ATTENDANTS.ENGLISH_1H6 #Bedford_H5 #CardinalBeaufort_1H6 #Exeter_H5 #Gloucester_2H4 #HERALDS.ENGLISH_1H6 #Somerset_1H6 #Warwick_2H4,1,
c,,, ,,,,,,,,1,1,#ATTENDANTS.ENGLISH_1H6 #Bedford_H5 #CardinalBeaufort_1H6 #Exeter_H5 #Gloucester_2H4 #HERALDS.ENGLISH_1H6 #Somerset_1H6 #Warwick_2H4,1,
w,,SD 1.1.0,the,fs-1h6-0000240,,,,,,,1,1,#ATTENDANTS.ENGLISH_1H6 #Bedford_H5 #CardinalBeaufort_1H6 #Exeter_H5 #Gloucester_2H4 #HERALDS.ENGLISH_1H6 #Somerset_1H6 #Warwick_2H4,1,
c,,, ,,,,,,,,1,1,#ATTENDANTS.ENGLISH_1H6 #Bedford_H5 #CardinalBeaufort_1H6 #Exeter_H5 #Gloucester_2H4 #HERALDS.ENGLISH_1H6 #Somerset_1H6 #Warwick_2H4,1,
w,,SD 1.1.0,Fifth,fs-1h6-0000260,,,,,,,1,1,#ATTENDANTS.ENGLISH_1H6 #Bedford_H5 #CardinalBeaufort_1H6 #Exeter_H5 #Gloucester_2H4 #HERALDS.ENGLISH_1H6 #Somerset_1H6 #Warwick_2H4,1,
pc,,SD 1.1.0,",",fs-1h6-0000270,,,,,,,1,1,#ATTENDANTS.ENGLISH_1H6 #Bedford_H5 #CardinalBeaufort_1H6 #Exeter_H5 #Gloucester_2H4 #HERALDS.ENGLISH_1H6 #Somerset_1H6 #Warwick_2H4,1,
w,,SD 1.1.0,attended,fs-1h6-0000280,,,,,,,1,1,#ATTENDANTS.ENGLISH_1H6 #Bedford_H5 #CardinalBeaufort_1H6 #Exeter_H5 #Gloucester_2H4 #HERALDS.ENGLISH_1H6 #Somerset_1H6 #Warwick_2H4,1,
c,,, ,,,,,,,,1,1,#ATTENDANTS.ENGLISH_1H6 #Bedford_H5 #CardinalBeaufort_1H6 #Exeter_H5 #Gloucester_2H4 #HERALDS.ENGLISH_1H6 #Somerset_1H6 #Warwick_2H4,1,
w,,SD 1.1.0,on,fs-1h6-0000300,,,,,,,1,1,#ATTENDANTS.ENGLISH_1H6 #Bedford_H5 #CardinalBeaufort_1H6 #Exeter_H5 #Gloucester_2H4 #HERALDS.ENGLISH_1H6 #Somerset_1H6 #Warwick_2H4,1,
c,,, ,,,,,,,,1,1,#ATTENDANTS.ENGLISH_1H6 #Bedford_H5 #CardinalBeaufort_1H6 #Exeter_H5 #Gloucester_2H4 #HERALDS.ENGLISH_1H6 #Somerset_1H6 #Warwick_2H4,1,
w,,SD 1.1.0,by,fs-1h6-0000320,,,,,,,1,1,#ATTENDANTS.ENGLISH_1H6 #Bedford_H5 #CardinalBeaufort_1H6 #Exeter_H5 #Gloucester_2H4 #HERALDS.ENGLISH_1H6 #Somerset_1H6 #Warwick_2H4,1,
c,,, ,,,,,,,,1,1,#ATTENDANTS.ENGLISH_1H6 #Bedford_H5 #CardinalBeaufort_1H6 #Exeter_H5 #Gloucester_2H4 #HERALDS.ENGLISH_1H6 #Somerset_1H6 #Warwick_2H4,1,
w,,SD 1.1.0,the,fs-1h6-0000340,,,,,,,1,1,#ATTENDANTS.ENGLISH_1H6 #Bedford_H5 #CardinalBeaufort_1H6 #Exeter_H5 #Gloucester_2H4 #HERALDS.ENGLISH_1H6 #Somerset_1H6 #Warwick_2H4,1,
c,,, ,,,,,,,,1,1,#ATTENDANTS.ENGLISH_1H6 #Bedford_H5 #CardinalBeaufort_1H6 #Exeter_H5 #Gloucester_2H4 #HERALDS.ENGLISH_1H6 #Somerset_1H6 #Warwick_2H4,1,
w,,SD 1.1.0,Duke,fs-1h6-0000360,,,,,,,1,1,#ATTENDANTS.ENGLISH_1H6 #Bedford_H5 #CardinalBeaufort_1H6 #Exeter_H5 #Gloucester_2H4 #HERALDS.ENGLISH_1H6 #Somerset_1H6 #Warwick_2H4,1,
c,,, ,,,,,,,,1,1,#ATTENDANTS.ENGLISH_1H6 #Bedford_H5 #CardinalBeaufort_1H6 #Exeter_H5 #Gloucester_2H4 #HERALDS.ENGLISH_1H6 #Somerset_1H6 #Warwick_2H4,1,
w,,SD 1.1.0,of,fs-1h6-0000380,,,,,,,1,1,#ATTENDANTS.ENGLISH_1H6 #Bedford_H5 #CardinalBeaufort_1H6 #Exeter_H5 #Gloucester_2H4 #HERALDS.ENGLISH_1H6 #Somerset_1H6 #Warwick_2H4,1,
c,,, ,,,,,,,,1,1,#ATTENDANTS.ENGLISH_1H6 #Bedford_H5 #CardinalBeaufort_1H6 #Exeter_H5 #Gloucester_2H4 #HERALDS.ENGLISH_1H6 #Somerset_1H6 #Warwick_2H4,1,
w,,SD 1.1.0,Bedford,fs-1h6-0000400,,,,,,,1,1,#ATTENDANTS.ENGLISH_1H6 #Bedford_H5 #CardinalBeaufort_1H6 #Exeter_H5 #Gloucester_2H4 #HERALDS.ENGLISH_1H6 #Somerset_1H6 #Warwick_2H4,1,
pc,,SD 1.1.0,",",fs-1h6-0000410,,,,,,,1,1,#ATTENDANTS.ENGLISH_1H6 #Bedford_H5 #CardinalBeaufort_1H6 #Exeter_H5 #Gloucester_2H4 #HERALDS.ENGLISH_1H6 #Somerset_1H6 #Warwick_2H4,1,
c,,, ,,,,,,,,1,1,#ATTENDANTS.ENGLISH_1H6 #Bedford_H5 #CardinalBeaufort_1H6 #Exeter_H5 #Gloucester_2H4 #HERALDS.ENGLISH_1H6 #Somerset_1H6 #Warwick_2H4,1,
w,,SD 1.1.0,Regent,fs-1h6-0000430,,,,,,,1,1,#ATTENDANTS.ENGLISH_1H6 #Bedford_H5 #CardinalBeaufort_1H6 #Exeter_H5 #Gloucester_2H4 #HERALDS.ENGLISH_1H6 #Somerset_1H6 #Warwick_2H4,1,
c,,, ,,,,,,,,1,1,#ATTENDANTS.ENGLISH_1H6 #Bedford_H5 #CardinalBeaufort_1H6 #Exeter_H5 #Gloucester_2H4 #HERALDS.ENGLISH_1H6 #Somerset_1H6 #Warwick_2H4,1,
w,,SD 1.1.0,of,fs-1h6-0000450,,,,,,,1,1,#ATTENDANTS.ENGLISH_1H6 #Bedford_H5 #CardinalBeaufort_1H6 #Exeter_H5 #Gloucester_2H4 #HERALDS.ENGLISH_1H6 #Somerset_1H6 #Warwick_2H4,1,
c,,, ,,,,,,,,1,1,#ATTENDANTS.ENGLISH_1H6 #Bedford_H5 #CardinalBeaufort_1H6 #Exeter_H5 #Gloucester_2H4 #HERALDS.ENGLISH_1H6 #Somerset_1H6 #Warwick_2H4,1,
w,,SD 1.1.0,France,fs-1h6-0000470,,,,,,,1,1,#ATTENDANTS.ENGLISH_1H6 #Bedford_H5 #CardinalBeaufort_1H6 #Exeter_H5 #Gloucester_2H4 #HERALDS.ENGLISH_1H6 #Somerset_1H6 #Warwick_2H4,1,
pc,,SD 1.1.0,;,fs-1h6-0000480,,,,,,,1,1,#ATTENDANTS.ENGLISH_1H6 #Bedford_H5 #CardinalBeaufort_1H6 #Exeter_H5 #Gloucester_2H4 #HERALDS.ENGLISH_1H6 #Somerset_1H6 #Warwick_2H4,1,
w,,SD 1.1.0,the,fs-1h6-0000490,,,,,,,1,1,#ATTENDANTS.ENGLISH_1H6 #Bedford_H5 #CardinalBeaufort_1H6 #Exeter_H5 #Gloucester_2H4 #HERALDS.ENGLISH_1H6 #Somerset_1H6 #Warwick_2H4,1,
c,,, ,,,,,,,,1,1,#ATTENDANTS.ENGLISH_1H6 #Bedford_H5 #CardinalBeaufort_1H6 #Exeter_H5 #Gloucester_2H4 #HERALDS.ENGLISH_1H6 #Somerset_1H6 #Warwick_2H4,1,
w,,SD 1.1.0,Duke,fs-1h6-0000510,,,,,,,1,1,#ATTENDANTS.ENGLISH_1H6 #Bedford_H5 #CardinalBeaufort_1H6 #Exeter_H5 #Gloucester_2H4 #HERALDS.ENGLISH_1H6 #Somerset_1H6 #Warwick_2H4,1,
c,,, ,,,,,,,,1,1,#ATTENDANTS.ENGLISH_1H6 #Bedford_H5 #CardinalBeaufort_1H6 #Exeter_H5 #Gloucester_2H4 #HERALDS.ENGLISH_1H6 #Somerset_1H6 #Warwick_2H4,1,
w,,SD 1.1.0,of,fs-1h6-0000530,,,,,,,1,1,#ATTENDANTS.ENGLISH_1H6 #Bedford_H5 #CardinalBeaufort_1H6 #Exeter_H5 #Gloucester_2H4 #HERALDS.ENGLISH_1H6 #Somerset_1H6 #Warwick_2H4,1,
c,,, ,,,,,,,,1,1,#ATTENDANTS.ENGLISH_1H6 #Bedford_H5 #CardinalBeaufort_1H6 #Exeter_H5 #Gloucester_2H4 #HERALDS.ENGLISH_1H6 #Somerset_1H6 #Warwick_2H4,1,
w,,SD 1.1.0,Gloucester,fs-1h6-0000550,,,,,,,1,1,#ATTENDANTS.ENGLISH_1H6 #Bedford_H5 #CardinalBeaufort_1H6 #Exeter_H5 #Gloucester_2H4 #HERALDS.ENGLISH_1H6 #Somerset_1H6 #Warwick_2H4,1,
pc,,SD 1.1.0,",",fs-1h6-0000560,,,,,,,1,1,#ATTENDANTS.ENGLISH_1H6 #Bedford_H5 #CardinalBeaufort_1H6 #Exeter_H5 #Gloucester_2H4 #HERALDS.ENGLISH_1H6 #Somerset_1H6 #Warwick_2H4,1,
c,,, ,,,,,,,,1,1,#ATTENDANTS.ENGLISH_1H6 #Bedford_H5 #CardinalBeaufort_1H6 #Exeter_H5 #Gloucester_2H4 #HERALDS.ENGLISH_1H6 #Somerset_1H6 #Warwick_2H4,1,
w,,SD 1.1.0,Protector,fs-1h6-0000580,,,,,,,1,1,#ATTENDANTS.ENGLISH_1H6 #Bedford_H5 #CardinalBeaufort_1H6 #Exeter_H5 #Gloucester_2H4 #HERALDS.ENGLISH_1H6 #Somerset_1H6 #Warwick_2H4,1,
pc,,SD 1.1.0,;,fs-1h6-0000590,,,,,,,1,1,#ATTENDANTS.ENGLISH_1H6 #Bedford_H5 #CardinalBeaufort_1H6 #Exeter_H5 #Gloucester_2H4 #HERALDS.ENGLISH_1H6 #Somerset_1H6 #Warwick_2H4,1,
c,,, ,,,,,,,,1,1,#ATTENDANTS.ENGLISH_1H6 #Bedford_H5 #CardinalBeaufort_1H6 #Exeter_H5 #Gloucester_2H4 #HERALDS.ENGLISH_1H6 #Somerset_1H6 #Warwick_2H4,1,
w,,SD 1.1.0,the,fs-1h6-0000610,,,,,,,1,1,#ATTENDANTS.ENGLISH_1H6 #Bedford_H5 #CardinalBeaufort_1H6 #Exeter_H5 #Gloucester_2H4 #HERALDS.ENGLISH_1H6 #Somerset_1H6 #Warwick_2H4,1,
c,,, ,,,,,,,,1,1,#ATTENDANTS.ENGLISH_1H6 #Bedford_H5 #CardinalBeaufort_1H6 #Exeter_H5 #Gloucester_2H4 #HERALDS.ENGLISH_1H6 #Somerset_1H6 #Warwick_2H4,1,
w,,SD 1.1.0,Duke,fs-1h6-0000630,,,,,,,1,1,#ATTENDANTS.ENGLISH_1H6 #Bedford_H5 #CardinalBeaufort_1H6 #Exeter_H5 #Gloucester_2H4 #HERALDS.ENGLISH_1H6 #Somerset_1H6 #Warwick_2H4,1,
c,,, ,,,,,,,,1,1,#ATTENDANTS.ENGLISH_1H6 #Bedford_H5 #CardinalBeaufort_1H6 #Exeter_H5 #Gloucester_2H4 #HERALDS.ENGLISH_1H6 #Somerset_1H6 #Warwick_2H4,1,
w,,SD 1.1.0,of,fs-1h6-0000650,,,,,,,1,1,#ATTENDANTS.ENGLISH_1H6 #Bedford_H5 #CardinalBeaufort_1H6 #Exeter_H5 #Gloucester_2H4 #HERALDS.ENGLISH_1H6 #Somerset_1H6 #Warwick_2H4,1,
c,,, ,,,,,,,,1,1,#ATTENDANTS.ENGLISH_1H6 #Bedford_H5 #CardinalBeaufort_1H6 #Exeter_H5 #Gloucester_2H4 #HERALDS.ENGLISH_1H6 #Somerset_1H6 #Warwick_2H4,1,
w,,SD 1.1.0,Exeter,fs-1h6-0000670,,,,,,,1,1,#ATTENDANTS.ENGLISH_1H6 #Bedford_H5 #CardinalBeaufort_1H6 #Exeter_H5 #Gloucester_2H4 #HERALDS.ENGLISH_1H6 #Somerset_1H6 #Warwick_2H4,1,
pc,,SD 1.1.0,;,fs-1h6-0000680,,,,,,,1,1,#ATTENDANTS.ENGLISH_1H6 #Bedford_H5 #CardinalBeaufort_1H6 #Exeter_H5 #Gloucester_2H4 #HERALDS.ENGLISH_1H6 #Somerset_1H6 #Warwick_2H4,1,
w,,SD 1.1.0,the,fs-1h6-0000690,,,,,,,1,1,#ATTENDANTS.ENGLISH_1H6 #Bedford_H5 #CardinalBeaufort_1H6 #Exeter_H5 #Gloucester_2H4 #HERALDS.ENGLISH_1H6 #Somerset_1H6 #Warwick_2H4,1,
c,,, ,,,,,,,,1,1,#ATTENDANTS.ENGLISH_1H6 #Bedford_H5 #CardinalBeaufort_1H6 #Exeter_H5 #Gloucester_2H4 #HERALDS.ENGLISH_1H6 #Somerset_1H6 #Warwick_2H4,1,
w,,SD 1.1.0,Earl,fs-1h6-0000710,,,,,,,1,1,#ATTENDANTS.ENGLISH_1H6 #Bedford_H5 #CardinalBeaufort_1H6 #Exeter_H5 #Gloucester_2H4 #HERALDS.ENGLISH_1H6 #Somerset_1H6 #Warwick_2H4,1,
c,,, ,,,,,,,,1,1,#ATTENDANTS.ENGLISH_1H6 #Bedford_H5 #CardinalBeaufort_1H6 #Exeter_H5 #Gloucester_2H4 #HERALDS.ENGLISH_1H6 #Somerset_1H6 #Warwick_2H4,1,
w,,SD 1.1.0,of,fs-1h6-0000730,,,,,,,1,1,#ATTENDANTS.ENGLISH_1H6 #Bedford_H5 #CardinalBeaufort_1H6 #Exeter_H5 #Gloucester_2H4 #HERALDS.ENGLISH_1H6 #Somerset_1H6 #Warwick_2H4,1,
c,,, ,,,,,,,,1,1,#ATTENDANTS.ENGLISH_1H6 #Bedford_H5 #CardinalBeaufort_1H6 #Exeter_H5 #Gloucester_2H4 #HERALDS.ENGLISH_1H6 #Somerset_1H6 #Warwick_2H4,1,
w,,SD 1.1.0,Warwick,fs-1h6-0000750,,,,,,,1,1,#ATTENDANTS.ENGLISH_1H6 #Bedford_H5 #CardinalBeaufort_1H6 #Exeter_H5 #Gloucester_2H4 #HERALDS.ENGLISH_1H6 #Somerset_1H6 #Warwick_2H4,1,
pc,,SD 1.1.0,;,fs-1h6-0000760,,,,,,,1,1,#ATTENDANTS.ENGLISH_1H6 #Bedford_H5 #CardinalBeaufort_1H6 #Exeter_H5 #Gloucester_2H4 #HERALDS.ENGLISH_1H6 #Somerset_1H6 #Warwick_2H4,1,
c,,, ,,,,,,,,1,1,#ATTENDANTS.ENGLISH_1H6 #Bedford_H5 #CardinalBeaufort_1H6 #Exeter_H5 #Gloucester_2H4 #HERALDS.ENGLISH_1H6 #Somerset_1H6 #Warwick_2H4,1,
w,,SD 1.1.0,the,fs-1h6-0000780,,,,,,,1,1,#ATTENDANTS.ENGLISH_1H6 #Bedford_H5 #CardinalBeaufort_1H6 #Exeter_H5 #Gloucester_2H4 #HERALDS.ENGLISH_1H6 #Somerset_1H6 #Warwick_2H4,1,
c,,, ,,,,,,,,1,1,#ATTENDANTS.ENGLISH_1H6 #Bedford_H5 #CardinalBeaufort_1H6 #Exeter_H5 #Gloucester_2H4 #HERALDS.ENGLISH_1H6 #Somerset_1H6 #Warwick_2H4,1,
w,,SD 1.1.0,Bishop,fs-1h6-0000800,,,,,,,1,1,#ATTENDANTS.ENGLISH_1H6 #Bedford_H5 #CardinalBeaufort_1H6 #Exeter_H5 #Gloucester_2H4 #HERALDS.ENGLISH_1H6 #Somerset_1H6 #Warwick_2H4,1,
c,,, ,,,,,,,,1,1,#ATTENDANTS.ENGLISH_1H6 #Bedford_H5 #CardinalBeaufort_1H6 #Exeter_H5 #Gloucester_2H4 #HERALDS.ENGLISH_1H6 #Somerset_1H6 #Warwick_2H4,1,
w,,SD 1.1.0,of,fs-1h6-0000820,,,,,,,1,1,#ATTENDANTS.ENGLISH_1H6 #Bedford_H5 #CardinalBeaufort_1H6 #Exeter_H5 #Gloucester_2H4 #HERALDS.ENGLISH_1H6 #Somerset_1H6 #Warwick_2H4,1,
c,,, ,,,,,,,,1,1,#ATTENDANTS.ENGLISH_1H6 #Bedford_H5 #CardinalBeaufort_1H6 #Exeter_H5 #Gloucester_2H4 #HERALDS.ENGLISH_1H6 #Somerset_1H6 #Warwick_2H4,1,
w,,SD 1.1.0,Winchester,fs-1h6-0000840,,,,,,,1,1,#ATTENDANTS.ENGLISH_1H6 #Bedford_H5 #CardinalBeaufort_1H6 #Exeter_H5 #Gloucester_2H4 #HERALDS.ENGLISH_1H6 #Somerset_1H6 #Warwick_2H4,1,
pc,,SD 1.1.0,;,fs-1h6-0000850,,,,,,,1,1,#ATTENDANTS.ENGLISH_1H6 #Bedford_H5 #CardinalBeaufort_1H6 #Exeter_H5 #Gloucester_2H4 #HERALDS.ENGLISH_1H6 #Somerset_1H6 #Warwick_2H4,1,
c,,, ,,,,,,,,1,1,#ATTENDANTS.ENGLISH_1H6 #Bedford_H5 #CardinalBeaufort_1H6 #Exeter_H5 #Gloucester_2H4 #HERALDS.ENGLISH_1H6 #Somerset_1H6 #Warwick_2H4,1,
w,,SD 1.1.0,and,fs-1h6-0000870,,,,,,,1,1,#ATTENDANTS.ENGLISH_1H6 #Bedford_H5 #CardinalBeaufort_1H6 #Exeter_H5 #Gloucester_2H4 #HERALDS.ENGLISH_1H6 #Somerset_1H6 #Warwick_2H4,1,
c,,, ,,,,,,,,1,1,#ATTENDANTS.ENGLISH_1H6 #Bedford_H5 #CardinalBeaufort_1H6 #Exeter_H5 #Gloucester_2H4 #HERALDS.ENGLISH_1H6 #Somerset_1H6 #Warwick_2H4,1,
w,,SD 1.1.0,the,fs-1h6-0000880,,,,,,,1,1,#ATTENDANTS.ENGLISH_1H6 #Bedford_H5 #CardinalBeaufort_1H6 #Exeter_H5 #Gloucester_2H4 #HERALDS.ENGLISH_1H6 #Somerset_1H6 #Warwick_2H4,1,
c,,, ,,,,,,,,1,1,#ATTENDANTS.ENGLISH_1H6 #Bedford_H5 #CardinalBeaufort_1H6 #Exeter_H5 #Gloucester_2H4 #HERALDS.ENGLISH_1H6 #Somerset_1H6 #Warwick_2H4,1,
w,,SD 1.1.0,Duke,fs-1h6-0000900,,,,,,,1,1,#ATTENDANTS.ENGLISH_1H6 #Bedford_H5 #CardinalBeaufort_1H6 #Exeter_H5 #Gloucester_2H4 #HERALDS.ENGLISH_1H6 #Somerset_1H6 #Warwick_2H4,1,
c,,, ,,,,,,,,1,1,#ATTENDANTS.ENGLISH_1H6 #Bedford_H5 #CardinalBeaufort_1H6 #Exeter_H5 #Gloucester_2H4 #HERALDS.ENGLISH_1H6 #Somerset_1H6 #Warwick_2H4,1,
w,,SD 1.1.0,of,fs-1h6-0000920,,,,,,,1,1,#ATTENDANTS.ENGLISH_1H6 #Bedford_H5 #CardinalBeaufort_1H6 #Exeter_H5 #Gloucester_2H4 #HERALDS.ENGLISH_1H6 #Somerset_1H6 #Warwick_2H4,1,
c,,, ,,,,,,,,1,1,#ATTENDANTS.ENGLISH_1H6 #Bedford_H5 #CardinalBeaufort_1H6 #Exeter_H5 #Gloucester_2H4 #HERALDS.ENGLISH_1H6 #Somerset_1H6 #Warwick_2H4,1,
w,,SD 1.1.0,Somerset,fs-1h6-0000940,,,,,,,1,1,#ATTENDANTS.ENGLISH_1H6 #Bedford_H5 #CardinalBeaufort_1H6 #Exeter_H5 #Gloucester_2H4 #HERALDS.ENGLISH_1H6 #Somerset_1H6 #Warwick_2H4,1,
pc,,SD 1.1.0,",",fs-1h6-0000950,,,,,,,1,1,#ATTENDANTS.ENGLISH_1H6 #Bedford_H5 #CardinalBeaufort_1H6 #Exeter_H5 #Gloucester_2H4 #HERALDS.ENGLISH_1H6 #Somerset_1H6 #Warwick_2H4,1,
c,,, ,,,,,,,,1,1,#ATTENDANTS.ENGLISH_1H6 #Bedford_H5 #CardinalBeaufort_1H6 #Exeter_H5 #Gloucester_2H4 #HERALDS.ENGLISH_1H6 #Somerset_1H6 #Warwick_2H4,1,
w,,SD 1.1.0,with,fs-1h6-0000970,,,,,,,1,1,#ATTENDANTS.ENGLISH_1H6 #Bedford_H5 #CardinalBeaufort_1H6 #Exeter_H5 #Gloucester_2H4 #HERALDS.ENGLISH_1H6 #Somerset_1H6 #Warwick_2H4,1,
c,,, ,,,,,,,,1,1,#ATTENDANTS.ENGLISH_1H6 #Bedford_H5 #CardinalBeaufort_1H6 #Exeter_H5 #Gloucester_2H4 #HERALDS.ENGLISH_1H6 #Somerset_1H6 #Warwick_2H4,1,
w,,SD 1.1.0,Heralds,fs-1h6-0000990,,,,,,,1,1,#ATTENDANTS.ENGLISH_1H6 #Bedford_H5 #CardinalBeaufort_1H6 #Exeter_H5 #Gloucester_2H4 #HERALDS.ENGLISH_1H6 #Somerset_1H6 #Warwick_2H4,1,
c,,, ,,,,,,,,1,1,#ATTENDANTS.ENGLISH_1H6 #Bedford_H5 #CardinalBeaufort_1H6 #Exeter_H5 #Gloucester_2H4 #HERALDS.ENGLISH_1H6 #Somerset_1H6 #Warwick_2H4,1,
w,,SD 1.1.0,and,fs-1h6-0001010,,,,,,,1,1,#ATTENDANTS.ENGLISH_1H6 #Bedford_H5 #CardinalBeaufort_1H6 #Exeter_H5 #Gloucester_2H4 #HERALDS.ENGLISH_1H6 #Somerset_1H6 #Warwick_2H4,1,
c,,, ,,,,,,,,1,1,#ATTENDANTS.ENGLISH_1H6 #Bedford_H5 #CardinalBeaufort_1H6 #Exeter_H5 #Gloucester_2H4 #HERALDS.ENGLISH_1H6 #Somerset_1H6 #Warwick_2H4,1,
w,,SD 1.1.0,Attendants,fs-1h6-0001030,,,,,,,1,1,#ATTENDANTS.ENGLISH_1H6 #Bedford_H5 #CardinalBeaufort_1H6 #Exeter_H5 #Gloucester_2H4 #HERALDS.ENGLISH_1H6 #Somerset_1H6 #Warwick_2H4,1,
pc,,SD 1.1.0,.,fs-1h6-0001040,,,,,,,1,1,#ATTENDANTS.ENGLISH_1H6 #Bedford_H5 #CardinalBeaufort_1H6 #Exeter_H5 #Gloucester_2H4 #HERALDS.ENGLISH_1H6 #Somerset_1H6 #Warwick_2H4,1,
sp,,,,sp-0001,{'#Bedford_H5'},,,,,,1,1,#ATTENDANTS.ENGLISH_1H6 #Bedford_H5 #CardinalBeaufort_1H6 #Exeter_H5 #Gloucester_2H4 #HERALDS.ENGLISH_1H6 #Somerset_1H6 #Warwick_2H4,1,#Bedford_H5
