act,scene,stagegroup,node,n_tokens_speaker,n_lines_speaker,n_tokens_onstage,n_lines_onstage
5,3,93,#Bardolph_1H4,18,3,198,31
5,3,93,#Davy_2H4,28,5,198,31
5,3,93,#Falstaff_1H4,12,2,198,31
5,3,93,#Shallow_2H4,92,14,198,31
5,3,93,#Silence_2H4,48,7,198,31
5,3,94,#Falstaff_1H4,9,2,33,8
5,3,94,#Silence_2H4,24,6,33,8
5,3,95,#Davy_2H4,14,2,21,3
5,3,95,#Falstaff_1H4,7,1,21,3
5,3,96,#Bardolph_1H4,12,2,430,62
5,3,96,#Falstaff_1H4,154,21,430,62
5,3,96,#Pistol_2H4,196,28,430,62
5,3,96,#Shallow_2H4,50,8,430,62
5,3,96,#Silence_2H4,18,3,430,62
5,4,97,#MistressQuickly_1H4,26,3,26,3
5,4,98,#BEADLES.0.1_2H4,72,10,209,29
5,4,98,#DollTearsheet_2H4,88,12,209,29
5,4,98,#MistressQuickly_1H4,49,7,209,29
5,5,99,#GROOMS.1_2H4,16,3,21,4
5,5,99,#GROOMS.2_2H4,5,1,21,4
5,5,100,#Falstaff_1H4,152,19,251,34
5,5,100,#Pistol_2H4,80,10,251,34
5,5,100,#Shallow_2H4,19,5,251,34
5,5,101,#ChiefJustice_2H4,10,2,271,35
5,5,101,#Falstaff_1H4,25,3,271,35
5,5,101,#HenryV_H5,225,28,271,35
5,5,101,#Pistol_2H4,11,2,271,35
5,5,102,#Falstaff_1H4,91,11,149,18
5,5,102,#Shallow_2H4,58,7,149,18
5,5,103,#ChiefJustice_2H4,27,4,38,6
5,5,103,#Falstaff_1H4,4,1,38,6
5,5,103,#Pistol_2H4,7,1,38,6
5,5,104,#Bedford_H5,83,11,89,13
5,5,104,#ChiefJustice_2H4,6,2,89,13
6,0,105,#Epilogue_2H4,331,36,331,36
1,1,4,#Northumberland_R2,0,0,4,1
1,1,4,#Porter_2H4,0,0,4,1
1,1,7,#Travers_2H4,0,0,1281,167
2,1,14,#Bardolph_1H4,0,0,121,20
2,1,15,#Bardolph_1H4,0,0,637,77
2,1,15,#OFFICERS.Fang_2H4,0,0,637,77
2,1,15,#OFFICERS.Snare_2H4,0,0,637,77
2,1,15,#OFFICERS_2H4,0,0,637,77
2,1,15,#SERVANTS.FALSTAFF.1_2H4,0,0,637,77
2,1,16,#Bardolph_1H4,0,0,242,33
2,1,16,#OFFICERS.Fang_2H4,0,0,242,33
2,1,16,#OFFICERS.Snare_2H4,0,0,242,33
2,1,16,#OFFICERS_2H4,0,0,242,33
2,1,16,#SERVANTS.FALSTAFF.1_2H4,0,0,242,33
2,1,17,#OFFICERS_2H4,0,0,185,31
2,4,24,#DRAWERS.Will_2H4,0,0,86,11
2,4,25,#DRAWERS.Will_2H4,0,0,8,2
2,4,25,#DollTearsheet_2H4,0,0,8,2
2,4,25,#MistressQuickly_1H4,0,0,8,2
2,4,28,#Falstaff_1H4,0,0,63,8
2,4,30,#Falstaff_1H4,0,0,32,4
2,4,30,#SERVANTS.FALSTAFF.1_2H4,0,0,32,4
2,4,31,#MistressQuickly_1H4,0,0,106,14
