act,scene,stagegroup,speaker,onstage,n_tokens,n_lines
2,1,14,#LORDS.DUMAINE.1_AWW #LORDS.DUMAINE.2_AWW,#ATTENDANTS.KING_AWW #Bertram_AWW #King_AWW #LORDS.DUMAINE.1_AWW #LORDS.DUMAINE.2_AWW #Parolles_AWW,5,1
2,1,14,#LORDS.DUMAINE.2_AWW,#ATTENDANTS.KING_AWW #Bertram_AWW #King_AWW #LORDS.DUMAINE.1_AWW #LORDS.DUMAINE.2_AWW #Parolles_AWW,14,3
2,1,14,#Parolles_AWW,#ATTENDANTS.KING_AWW #Bertram_AWW #King_AWW #LORDS.DUMAINE.1_AWW #LORDS.DUMAINE.2_AWW #Parolles_AWW,91,12
2,1,15,#Bertram_AWW,#ATTENDANTS.KING_AWW #Bertram_AWW #King_AWW #Parolles_AWW,8,2
2,1,15,#Parolles_AWW,#ATTENDANTS.KING_AWW #Bertram_AWW #King_AWW #Parolles_AWW,86,12
2,1,16,#King_AWW,#ATTENDANTS.KING_AWW #King_AWW #Lafew_AWW,60,10
2,1,16,#Lafew_AWW,#ATTENDANTS.KING_AWW #King_AWW #Lafew_AWW,217,29
2,1,17,#King_AWW,#ATTENDANTS.KING_AWW #Helen_AWW #King_AWW #Lafew_AWW,5,1
2,1,17,#Lafew_AWW,#ATTENDANTS.KING_AWW #Helen_AWW #King_AWW #Lafew_AWW,42,6
2,1,18,#Helen_AWW,#ATTENDANTS.KING_AWW #Helen_AWW #King_AWW,527,68
2,1,18,#King_AWW,#ATTENDANTS.KING_AWW #Helen_AWW #King_AWW,362,49
2,2,19,#Countess_AWW,#Countess_AWW #Fool_AWW,233,32
2,2,19,#Fool_AWW,#Countess_AWW #Fool_AWW,309,35
2,3,20,#Bertram_AWW,#Bertram_AWW #Lafew_AWW #Parolles_AWW,3,1
2,3,20,#Lafew_AWW,#Bertram_AWW #Lafew_AWW #Parolles_AWW,113,19
2,3,20,#Parolles_AWW,#Bertram_AWW #Lafew_AWW #Parolles_AWW,139,19
2,3,21,#King_AWW,#ATTENDANTS.KING_AWW #Bertram_AWW #Helen_AWW #King_AWW #Lafew_AWW #Parolles_AWW,42,6
2,3,21,#Lafew_AWW,#ATTENDANTS.KING_AWW #Bertram_AWW #Helen_AWW #King_AWW #Lafew_AWW #Parolles_AWW,32,4
2,3,21,#Parolles_AWW,#ATTENDANTS.KING_AWW #Bertram_AWW #Helen_AWW #King_AWW #Lafew_AWW #Parolles_AWW,19,3
2,3,22,#Bertram_AWW,#ATTENDANTS.KING_AWW #Bertram_AWW #Helen_AWW #King_AWW #LORDS.COURT.1_AWW #LORDS.COURT.2_AWW #LORDS.COURT.3_AWW #LORDS.COURT.4_AWW #Lafew_AWW #Parolles_AWW,145,19
2,3,22,#Helen_AWW,#ATTENDANTS.KING_AWW #Bertram_AWW #Helen_AWW #King_AWW #LORDS.COURT.1_AWW #LORDS.COURT.2_AWW #LORDS.COURT.3_AWW #LORDS.COURT.4_AWW #Lafew_AWW #Parolles_AWW,249,35
2,3,22,#King_AWW,#ATTENDANTS.KING_AWW #Bertram_AWW #Helen_AWW #King_AWW #LORDS.COURT.1_AWW #LORDS.COURT.2_AWW #LORDS.COURT.3_AWW #LORDS.COURT.4_AWW #Lafew_AWW #Parolles_AWW,549,73
2,3,22,#LORDS.COURT.1_AWW,#ATTENDANTS.KING_AWW #Bertram_AWW #Helen_AWW #King_AWW #LORDS.COURT.1_AWW #LORDS.COURT.2_AWW #LORDS.COURT.3_AWW #LORDS.COURT.4_AWW #Lafew_AWW #Parolles_AWW,3,1
2,3,22,#LORDS.COURT.1_AWW #LORDS.COURT.2_AWW #LORDS.COURT.3_AWW #LORDS.COURT.4_AWW,#ATTENDANTS.KING_AWW #Bertram_AWW #Helen_AWW #King_AWW #LORDS.COURT.1_AWW #LORDS.COURT.2_AWW #LORDS.COURT.3_AWW #LORDS.COURT.4_AWW #Lafew_AWW #Parolles_AWW,8,1
2,3,22,#LORDS.COURT.2_AWW,#ATTENDANTS.KING_AWW #Bertram_AWW #Helen_AWW #King_AWW #LORDS.COURT.1_AWW #LORDS.COURT.2_AWW #LORDS.COURT.3_AWW #LORDS.COURT.4_AWW #Lafew_AWW #Parolles_AWW,5,1
2,3,22,#LORDS.COURT.4_AWW,#ATTENDANTS.KING_AWW #Bertram_AWW #Helen_AWW #King_AWW #LORDS.COURT.1_AWW #LORDS.COURT.2_AWW #LORDS.COURT.3_AWW #LORDS.COURT.4_AWW #Lafew_AWW #Parolles_AWW,6,1
2,3,22,#Lafew_AWW,#ATTENDANTS.KING_AWW #Bertram_AWW #Helen_AWW #King_AWW #LORDS.COURT.1_AWW #LORDS.COURT.2_AWW #LORDS.COURT.3_AWW #LORDS.COURT.4_AWW #Lafew_AWW #Parolles_AWW,112,14
2,3,23,#Lafew_AWW,#Lafew_AWW #Parolles_AWW,304,35
2,3,23,#Parolles_AWW,#Lafew_AWW #Parolles_AWW,92,16
2,3,24,#Parolles_AWW,#Parolles_AWW,73,7
2,3,25,#Lafew_AWW,#Lafew_AWW #Parolles_AWW,150,18
2,3,25,#Parolles_AWW,#Lafew_AWW #Parolles_AWW,35,6
2,3,26,#Parolles_AWW,#Parolles_AWW,15,2
2,3,27,#Bertram_AWW,#Bertram_AWW #Parolles_AWW,131,17
2,3,27,#Parolles_AWW,#Bertram_AWW #Parolles_AWW,133,18
2,4,28,#Fool_AWW,#Fool_AWW #Helen_AWW,70,8
2,4,28,#Helen_AWW,#Fool_AWW #Helen_AWW,25,4
2,4,29,#Fool_AWW,#Fool_AWW #Helen_AWW #Parolles_AWW,124,15
2,4,29,#Helen_AWW,#Fool_AWW #Helen_AWW #Parolles_AWW,29,5
2,4,29,#Parolles_AWW,#Fool_AWW #Helen_AWW #Parolles_AWW,170,25
2,4,30,#Helen_AWW,#Fool_AWW #Helen_AWW,5,1
2,5,31,#Bertram_AWW,#Bertram_AWW #Lafew_AWW,28,4
2,5,31,#Lafew_AWW,#Bertram_AWW #Lafew_AWW,73,10
2,5,32,#Bertram_AWW,#Bertram_AWW #Lafew_AWW #Parolles_AWW,57,9
2,5,32,#Lafew_AWW,#Bertram_AWW #Lafew_AWW #Parolles_AWW,179,21
2,5,32,#Parolles_AWW,#Bertram_AWW #Lafew_AWW #Parolles_AWW,26,6
2,5,33,#Bertram_AWW,#Bertram_AWW #Parolles_AWW,18,3
2,5,33,#Parolles_AWW,#Bertram_AWW #Parolles_AWW,11,2
2,5,34,#Bertram_AWW,#Bertram_AWW #Helen_AWW #Parolles_AWW,158,23
2,5,34,#Helen_AWW,#Bertram_AWW #Helen_AWW #Parolles_AWW,147,21
2,5,35,#Bertram_AWW,#Bertram_AWW #Parolles_AWW,24,3
2,5,35,#Parolles_AWW,#Bertram_AWW #Parolles_AWW,2,1
3,1,36,#Duke_AWW,#Duke_AWW #LORDS.DUMAINE.1_AWW #LORDS.DUMAINE.2_AWW #SOLDIERS_AWW,86,13
3,1,36,#LORDS.DUMAINE.1_AWW,#Duke_AWW #LORDS.DUMAINE.1_AWW #LORDS.DUMAINE.2_AWW #SOLDIERS_AWW,36,6
3,1,36,#LORDS.DUMAINE.2_AWW,#Duke_AWW #LORDS.DUMAINE.1_AWW #LORDS.DUMAINE.2_AWW #SOLDIERS_AWW,55,8
3,2,37,#Countess_AWW,#Countess_AWW #Fool_AWW,40,6
3,2,37,#Fool_AWW,#Countess_AWW #Fool_AWW,112,12
