act,scene,stagegroup,node,n_tokens_speaker,n_lines_speaker,n_tokens_onstage,n_lines_onstage
1,6,35,#Coriolanus_Cor,372,51,552,80
1,7,36,#Lartius_Cor,59,8,64,9
1,7,36,#SOLDIERS.ROMAN.Lieutenant_Cor,5,1,64,9
1,8,37,#Aufidius_Cor,46,9,112,19
1,8,37,#Coriolanus_Cor,66,10,112,19
1,8,38,#Aufidius_Cor,12,3,12,3
1,9,39,#Cominius_Cor,88,12,88,12
1,9,40,#Cominius_Cor,325,44,667,94
1,9,40,#Coriolanus_Cor,320,44,667,94
1,9,40,#Lartius_Cor,22,6,667,94
1,9,40,#SOLDIERS.ROMAN_Cor,3,1,667,94
1,10,41,#Aufidius_Cor,4,1,4,1
1,10,42,#Aufidius_Cor,254,31,271,35
1,10,42,#SOLDIERS.VOLSCIAN.0.1_Cor,17,4,271,35
2,1,43,#Menenius_Cor,669,82,765,99
2,1,43,#TRIBUNES.Brutus_Cor,77,13,765,99
2,1,43,#TRIBUNES.Sicinius_Cor,33,8,765,99
2,1,44,#Menenius_Cor,242,34,468,67
2,1,44,#Valeria_Cor,11,3,468,67
2,1,44,#Virgilia_Cor,22,4,468,67
2,1,44,#Volumnia_Cor,196,27,468,67
2,1,45,#Cominius_Cor,10,3,337,57
2,1,45,#Coriolanus_Cor,123,23,337,57
2,1,45,#Herald_Cor,38,6,337,57
2,1,45,#Menenius_Cor,91,13,337,57
2,1,45,#Valeria_Cor,5,1,337,57
2,1,45,#Virgilia_Cor,5,1,337,57
2,1,45,#Volumnia_Cor,80,13,337,57
2,1,46,#TRIBUNES.Brutus_Cor,292,42,445,67
2,1,46,#TRIBUNES.Sicinius_Cor,153,25,445,67
2,1,47,#MESSENGERS.X.4_Cor,71,9,96,14
2,1,47,#TRIBUNES.Brutus_Cor,22,4,96,14
2,1,47,#TRIBUNES.Sicinius_Cor,3,1,96,14
2,2,48,#OFFICERS.1_Cor,111,14,297,36
2,2,48,#OFFICERS.2_Cor,186,22,297,36
2,2,49,#Menenius_Cor,80,13,80,13
2,2,50,#Coriolanus_Cor,72,11,239,42
2,2,50,#Menenius_Cor,40,8,239,42
2,2,50,#SENATORS.ROMAN.0.1_Cor,59,10,239,42
2,2,50,#TRIBUNES.Brutus_Cor,48,9,239,42
2,2,50,#TRIBUNES.Sicinius_Cor,20,4,239,42
2,2,51,#Cominius_Cor,373,47,440,60
2,2,51,#Menenius_Cor,50,9,440,60
2,2,51,#OFFICERS.1_Cor,3,1,440,60
2,2,51,#SENATORS.ROMAN.0.1_Cor,14,3,440,60
2,2,52,#Coriolanus_Cor,95,15,194,32
2,2,52,#Menenius_Cor,74,12,194,32
2,2,52,#SENATORS.ROMAN_Cor,7,1,194,32
2,2,52,#TRIBUNES.Brutus_Cor,3,1,194,32
2,2,52,#TRIBUNES.Sicinius_Cor,15,3,194,32
2,2,53,#TRIBUNES.Brutus_Cor,26,4,49,7
2,2,53,#TRIBUNES.Sicinius_Cor,23,3,49,7
2,3,54,#CITIZENS.ROMAN.1_Cor,44,6,326,41
2,3,54,#CITIZENS.ROMAN.2_Cor,31,6,326,41
2,3,54,#CITIZENS.ROMAN.3_Cor,251,29,326,41
2,3,55,#CITIZENS.ROMAN.1_Cor,2,1,75,9
2,3,55,#CITIZENS.ROMAN.2_Cor,2,1,75,9
2,3,55,#CITIZENS.ROMAN.3_Cor,73,8,75,9
2,3,55,#CITIZENS.ROMAN.4_Cor,2,1,75,9
2,3,55,#CITIZENS.ROMAN.5_Cor,2,1,75,9
2,3,55,#CITIZENS.ROMAN.6_Cor,2,1,75,9
2,3,55,#CITIZENS.ROMAN.7_Cor,2,1,75,9
2,3,55,#CITIZENS.ROMAN.8_Cor,2,1,75,9
2,3,56,#Coriolanus_Cor,66,9,117,17
2,3,56,#Menenius_Cor,51,8,117,17
2,3,57,#Coriolanus_Cor,10,2,10,2
2,3,58,#CITIZENS.ROMAN.1_Cor,7,1,147,24
2,3,58,#CITIZENS.ROMAN.2_Cor,18,4,147,24
