act,scene,stagegroup,speaker,onstage,n_tokens,n_lines
2,2,32,#Buckingham_R3,#Buckingham_R3 #ClarencesBoy_R3 #ClarencesDaughter_R3 #Dorset_R3 #DuchessOfYork_R3 #Hastings_3H6 #QueenElizabeth_3H6 #Ratcliffe_R3 #RichardIII_R3 #Rivers_3H6 #Stanley_R3,148,20
2,2,32,#DuchessOfYork_R3,#Buckingham_R3 #ClarencesBoy_R3 #ClarencesDaughter_R3 #Dorset_R3 #DuchessOfYork_R3 #Hastings_3H6 #QueenElizabeth_3H6 #Ratcliffe_R3 #RichardIII_R3 #Rivers_3H6 #Stanley_R3,15,2
2,2,32,#Hastings_3H6,#Buckingham_R3 #ClarencesBoy_R3 #ClarencesDaughter_R3 #Dorset_R3 #DuchessOfYork_R3 #Hastings_3H6 #QueenElizabeth_3H6 #Ratcliffe_R3 #RichardIII_R3 #Rivers_3H6 #Stanley_R3,4,1
2,2,32,#RichardIII_R3,#Buckingham_R3 #ClarencesBoy_R3 #ClarencesDaughter_R3 #Dorset_R3 #DuchessOfYork_R3 #Hastings_3H6 #QueenElizabeth_3H6 #Ratcliffe_R3 #RichardIII_R3 #Rivers_3H6 #Stanley_R3,127,16
2,2,32,#Rivers_3H6,#Buckingham_R3 #ClarencesBoy_R3 #ClarencesDaughter_R3 #Dorset_R3 #DuchessOfYork_R3 #Hastings_3H6 #QueenElizabeth_3H6 #Ratcliffe_R3 #RichardIII_R3 #Rivers_3H6 #Stanley_R3,59,8
2,2,33,#Buckingham_R3,#Buckingham_R3 #RichardIII_R3,42,5
2,2,33,#RichardIII_R3,#Buckingham_R3 #RichardIII_R3,30,4
2,3,34,#CITIZENS.1_R3,#CITIZENS.1_R3 #CITIZENS.2_R3,13,2
2,3,34,#CITIZENS.2_R3,#CITIZENS.1_R3 #CITIZENS.2_R3,30,4
2,3,35,#CITIZENS.1_R3,#CITIZENS.1_R3 #CITIZENS.2_R3 #CITIZENS.3_R3,52,6
2,3,35,#CITIZENS.2_R3,#CITIZENS.1_R3 #CITIZENS.2_R3 #CITIZENS.3_R3,74,9
2,3,35,#CITIZENS.3_R3,#CITIZENS.1_R3 #CITIZENS.2_R3 #CITIZENS.3_R3,230,30
2,4,36,#Archbishop_R3,#Archbishop_R3 #DuchessOfYork_R3 #QueenElizabeth_3H6 #York_R3,24,3
2,4,36,#DuchessOfYork_R3,#Archbishop_R3 #DuchessOfYork_R3 #QueenElizabeth_3H6 #York_R3,118,13
2,4,36,#QueenElizabeth_3H6,#Archbishop_R3 #DuchessOfYork_R3 #QueenElizabeth_3H6 #York_R3,29,4
2,4,36,#York_R3,#Archbishop_R3 #DuchessOfYork_R3 #QueenElizabeth_3H6 #York_R3,147,20
2,4,37,#Archbishop_R3,#Archbishop_R3 #DuchessOfYork_R3 #MESSENGERS.X.1_R3 #QueenElizabeth_3H6 #York_R3,54,8
2,4,37,#DuchessOfYork_R3,#Archbishop_R3 #DuchessOfYork_R3 #MESSENGERS.X.1_R3 #QueenElizabeth_3H6 #York_R3,98,14
2,4,37,#MESSENGERS.X.1_R3,#Archbishop_R3 #DuchessOfYork_R3 #MESSENGERS.X.1_R3 #QueenElizabeth_3H6 #York_R3,61,8
2,4,37,#QueenElizabeth_3H6,#Archbishop_R3 #DuchessOfYork_R3 #MESSENGERS.X.1_R3 #QueenElizabeth_3H6 #York_R3,61,10
3,1,38,#Buckingham_R3,#ATTENDANTS_R3 #Buckingham_R3 #Cardinal_R3 #Catesby_R3 #EdwardV_R3 #RichardIII_R3,8,1
3,1,38,#EdwardV_R3,#ATTENDANTS_R3 #Buckingham_R3 #Cardinal_R3 #Catesby_R3 #EdwardV_R3 #RichardIII_R3,33,4
