act,scene,stagegroup,node,n_tokens_speaker,n_lines_speaker,n_tokens_onstage,n_lines_onstage
2,3,22,#LORDS.COURT.2_AWW,13,2,1077,145
2,3,22,#LORDS.COURT.3_AWW,8,1,1077,145
2,3,22,#LORDS.COURT.4_AWW,14,2,1077,145
2,3,22,#Lafew_AWW,112,14,1077,145
2,3,23,#Lafew_AWW,304,35,396,51
2,3,23,#Parolles_AWW,92,16,396,51
2,3,24,#Parolles_AWW,73,7,73,7
2,3,25,#Lafew_AWW,150,18,185,24
2,3,25,#Parolles_AWW,35,6,185,24
2,3,26,#Parolles_AWW,15,2,15,2
2,3,27,#Bertram_AWW,131,17,264,35
2,3,27,#Parolles_AWW,133,18,264,35
2,4,28,#Fool_AWW,70,8,95,12
2,4,28,#Helen_AWW,25,4,95,12
2,4,29,#Fool_AWW,124,15,323,45
2,4,29,#Helen_AWW,29,5,323,45
2,4,29,#Parolles_AWW,170,25,323,45
2,4,30,#Helen_AWW,5,1,5,1
2,5,31,#Bertram_AWW,28,4,101,14
2,5,31,#Lafew_AWW,73,10,101,14
2,5,32,#Bertram_AWW,57,9,262,36
2,5,32,#Lafew_AWW,179,21,262,36
2,5,32,#Parolles_AWW,26,6,262,36
2,5,33,#Bertram_AWW,18,3,29,5
2,5,33,#Parolles_AWW,11,2,29,5
2,5,34,#Bertram_AWW,158,23,305,44
2,5,34,#Helen_AWW,147,21,305,44
2,5,35,#Bertram_AWW,24,3,26,4
2,5,35,#Parolles_AWW,2,1,26,4
3,1,36,#Duke_AWW,86,13,177,27
3,1,36,#LORDS.DUMAINE.1_AWW,36,6,177,27
3,1,36,#LORDS.DUMAINE.2_AWW,55,8,177,27
3,2,37,#Countess_AWW,40,6,152,18
3,2,37,#Fool_AWW,112,12,152,18
3,2,38,#Countess_AWW,100,14,100,14
3,2,39,#Countess_AWW,9,2,96,12
3,2,39,#Fool_AWW,87,10,96,12
3,2,40,#Countess_AWW,208,30,423,65
3,2,40,#GENTLEMEN.1_AWW,61,11,423,65
3,2,40,#GENTLEMEN.2_AWW,79,13,423,65
3,2,40,#Helen_AWW,75,11,423,65
3,2,41,#Helen_AWW,259,31,259,31
3,3,42,#Bertram_AWW,56,8,94,14
3,3,42,#Duke_AWW,38,6,94,14
3,4,43,#Countess_AWW,207,26,344,44
3,4,43,#Steward_AWW,137,18,344,44
3,5,44,#Diana_AWW,17,3,241,31
3,5,44,#Mariana_AWW,152,17,241,31
3,5,44,#Widow_AWW,72,11,241,31
3,5,45,#Diana_AWW,66,11,351,56
3,5,45,#Helen_AWW,120,20,351,56
3,5,45,#Mariana_AWW,4,1,351,56
3,5,45,#Widow_AWW,161,24,351,56
3,5,46,#Diana_AWW,64,9,117,22
3,5,46,#Helen_AWW,17,4,117,22
3,5,46,#Mariana_AWW,16,4,117,22
3,5,46,#Parolles_AWW,4,1,117,22
3,5,46,#Widow_AWW,16,4,117,22
3,5,47,#Diana_AWW,5,1,76,11
3,5,47,#Helen_AWW,41,6,76,11
3,5,47,#Widow_AWW,35,5,76,11
3,6,48,#Bertram_AWW,21,3,321,40
3,6,48,#LORDS.DUMAINE.1_AWW,177,21,321,40
3,6,48,#LORDS.DUMAINE.2_AWW,123,16,321,40
3,6,49,#Bertram_AWW,153,20,348,45
3,6,49,#LORDS.DUMAINE.1_AWW,22,3,348,45
3,6,49,#LORDS.DUMAINE.2_AWW,43,5,348,45
3,6,49,#Parolles_AWW,130,17,348,45
3,6,50,#Bertram_AWW,29,4,217,27
3,6,50,#LORDS.DUMAINE.1_AWW,101,13,217,27
