act,scene,stagegroup,node,n_tokens_speaker,n_lines_speaker,n_tokens_onstage,n_lines_onstage
4,3,44,#ShepherdsSon_WT,347,47,675,93
4,3,45,#Autolycus_WT,70,9,70,9
4,4,46,#Florizell_WT,239,35,435,63
4,4,46,#Perdita_WT,196,28,435,63
4,4,47,#Camillo_WT,34,5,1044,150
4,4,47,#Dorcas_WT,12,2,1044,150
4,4,47,#Florizell_WT,135,18,1044,150
4,4,47,#Mopsa_WT,4,1,1044,150
4,4,47,#Perdita_WT,448,68,1044,150
4,4,47,#Polixenes_WT,155,24,1044,150
4,4,47,#Shepherd_WT,239,29,1044,150
4,4,47,#ShepherdsSon_WT,17,3,1044,150
4,4,48,#Perdita_WT,11,2,284,37
4,4,48,#Polixenes_WT,5,1,284,37
4,4,48,#SERVANTS.SHEPHERD.1_WT,211,25,284,37
4,4,48,#ShepherdsSon_WT,57,9,284,37
4,4,49,#Perdita_WT,8,1,22,3
4,4,49,#ShepherdsSon_WT,14,2,22,3
4,4,50,#Autolycus_WT,318,47,697,104
4,4,50,#Dorcas_WT,55,11,697,104
4,4,50,#Mopsa_WT,138,20,697,104
4,4,50,#ShepherdsSon_WT,186,26,697,104
4,4,51,#Autolycus_WT,51,10,51,10
4,4,52,#Polixenes_WT,14,2,153,21
4,4,52,#SERVANTS.SHEPHERD.1_WT,104,14,153,21
4,4,52,#Shepherd_WT,35,5,153,21
4,4,53,#Camillo_WT,5,1,846,130
4,4,53,#Florizell_WT,263,41,846,130
4,4,53,#Perdita_WT,26,4,846,130
4,4,53,#Polixenes_WT,493,73,846,130
4,4,53,#Shepherd_WT,59,11,846,130
4,4,54,#Camillo_WT,8,2,189,28
4,4,54,#Perdita_WT,82,11,189,28
4,4,54,#Shepherd_WT,99,15,189,28
4,4,55,#Camillo_WT,590,88,1087,164
4,4,55,#Florizell_WT,450,68,1087,164
4,4,55,#Perdita_WT,47,8,1087,164
4,4,56,#Autolycus_WT,285,33,596,82
4,4,56,#Camillo_WT,245,37,596,82
4,4,56,#Florizell_WT,45,8,596,82
4,4,56,#Perdita_WT,21,4,596,82
4,4,57,#Autolycus_WT,137,14,137,14
4,4,58,#Autolycus_WT,651,79,1214,157
4,4,58,#Shepherd_WT,213,30,1214,157
4,4,58,#ShepherdsSon_WT,350,48,1214,157
4,4,59,#Autolycus_WT,119,12,119,12
5,1,60,#Cleomenes_WT,76,13,693,106
5,1,60,#Dion_WT,75,11,693,106
5,1,60,#Leontes_WT,210,32,693,106
5,1,60,#Paulina_WT,332,50,693,106
5,1,61,#Leontes_WT,53,9,243,38
5,1,61,#Paulina_WT,71,11,243,38
5,1,61,#SERVANTS.X.3_WT,119,18,243,38
5,1,62,#Leontes_WT,47,8,72,12
5,1,62,#Paulina_WT,25,4,72,12
5,1,63,#Florizell_WT,153,24,428,62
5,1,63,#Leontes_WT,275,38,428,62
5,1,64,#ATTENDANTS.X_WT,172,24,462,69
5,1,64,#Florizell_WT,106,16,462,69
5,1,64,#Leontes_WT,138,21,462,69
5,1,64,#Paulina_WT,30,5,462,69
5,1,64,#Perdita_WT,16,3,462,69
5,2,65,#ATTENDANTS.1_WT,146,18,164,21
5,2,65,#Autolycus_WT,18,3,164,21
5,2,66,#ATTENDANTS.1_WT,11,2,43,6
5,2,66,#ATTENDANTS.2_WT,32,4,43,6
5,2,67,#ATTENDANTS.1_WT,64,10,752,93
5,2,67,#ATTENDANTS.2_WT,94,13,752,93
5,2,67,#ATTENDANTS.3_WT,594,70,752,93
5,2,68,#Autolycus_WT,102,12,102,12
5,2,69,#Autolycus_WT,73,9,444,55
5,2,69,#Shepherd_WT,56,8,444,55
5,2,69,#ShepherdsSon_WT,315,38,444,55
5,3,70,#Leontes_WT,61,9,168,23
5,3,70,#Paulina_WT,107,14,168,23
5,3,71,#Camillo_WT,48,7,1118,169
5,3,71,#Hermione_WT,57,9,1118,169
5,3,71,#Leontes_WT,481,70,1118,169
5,3,71,#Paulina_WT,429,65,1118,169
5,3,71,#Perdita_WT,43,8,1118,169
5,3,71,#Polixenes_WT,60,10,1118,169
1,2,2,#ATTENDANTS_WT,0,0,1563,230
1,2,2,#Camillo_WT,0,0,1563,230
2,1,7,#LADIES_WT,0,0,12,2
2,1,7,#Mamillius_WT,0,0,12,2
2,1,8,#Hermione_WT,0,0,37,6
2,1,8,#LADIES_WT,0,0,37,6
2,1,9,#LADIES_WT,0,0,232,34
2,1,10,#ATTENDANTS_WT,0,0,9,1
2,1,10,#Antigonus_WT,0,0,9,1
2,1,10,#Hermione_WT,0,0,9,1
2,1,10,#LADIES.0.1_WT,0,0,9,1
2,1,10,#LADIES.0.2_WT,0,0,9,1
2,1,10,#LADIES_WT,0,0,9,1
2,1,10,#Mamillius_WT,0,0,9,1
2,1,11,#ATTENDANTS_WT,0,0,246,35
2,1,11,#Antigonus_WT,0,0,246,35
2,1,11,#LADIES.0.1_WT,0,0,246,35
2,1,11,#LADIES.0.2_WT,0,0,246,35
2,1,11,#LADIES_WT,0,0,246,35
2,1,11,#Mamillius_WT,0,0,246,35
2,1,12,#ATTENDANTS.0.1_WT,0,0,520,73
2,1,12,#ATTENDANTS_WT,0,0,520,73
2,1,12,#Antigonus_WT,0,0,520,73
2,1,12,#LADIES.0.1_WT,0,0,520,73
2,1,12,#LADIES.0.2_WT,0,0,520,73
2,1,12,#LADIES_WT,0,0,520,73
2,1,13,#ATTENDANTS_WT,0,0,615,88
2,1,13,#LADIES.0.1_WT,0,0,615,88
2,1,13,#LADIES.0.2_WT,0,0,615,88
2,2,14,#ATTENDANTS.PAULINA_WT,0,0,32,5
2,2,15,#ATTENDANTS.PAULINA.0.1_WT,0,0,87,16
2,2,15,#ATTENDANTS.PAULINA_WT,0,0,87,16
2,2,16,#ATTENDANTS.PAULINA.0.1_WT,0,0,14,2
2,2,17,#ATTENDANTS.PAULINA.0.1_WT,0,0,12,2
2,2,18,#ATTENDANTS.PAULINA.0.1_WT,0,0,374,55
2,3,22,#ATTENDANTS_WT,0,0,36,6
2,3,22,#Leontes_WT,0,0,36,6
2,3,22,#Perdita.Infant_WT,0,0,36,6
2,3,22,#SERVANTS_WT,0,0,36,6
2,3,23,#ATTENDANTS.0.1_WT,0,0,851,130
2,3,23,#ATTENDANTS_WT,0,0,851,130
2,3,23,#Perdita.Infant_WT,0,0,851,130
2,3,23,#SERVANTS_WT,0,0,851,130
2,3,24,#Perdita.Infant_WT,0,0,512,68
2,3,24,#SERVANTS.0_WT,0,0,512,68
